iteration,accuracy,mean_C
1,0.483333333333333,0.2404
1,0.516666666666667,0.0262
1,0.533333333333333,0.2242
1,0.55,0.0244
1,0.416666666666667,0.0244
1,0.483333333333333,0.0064
1,0.483333333333333,0.0244
1,0.433333333333333,0.2026
1,0.483333333333333,0.2422
1,0.483333333333333,0.4042
1,0.5,0.4006
1,0.483333333333333,2.0062
1,0.55,2.0224
1,0.483333333333333,2.0242
1,0.483333333333333,0.6004
1,0.533333333333333,2.0044
1,0.6,0.262
1,0.466666666666667,0.2206
1,0.5,0.0244
1,0.516666666666667,0.0208
1,0.533333333333333,2.0224
1,0.516666666666667,0.2422
1,0.533333333333333,0.0604
1,0.45,0.2206
1,0.466666666666667,2.0206
1,0.5,0.0046
1,0.433333333333333,0.4024
1,0.533333333333333,0.2224
1,0.516666666666667,0.4006
1,0.466666666666667,0.2206
1,0.533333333333333,0.0424
1,0.45,0.0424
1,0.45,0.0406
1,0.483333333333333,0.2026
1,0.483333333333333,0.4222
1,0.55,0.001
1,0.533333333333333,0.0244
1,0.45,0.0406
1,0.533333333333333,0.0604
1,0.516666666666667,0.0244
1,0.5,0.0226
1,0.483333333333333,0.424
1,0.55,0.0262
1,0.566666666666667,0.2044
1,0.516666666666667,0.0028
1,0.5,0.2026
1,0.433333333333333,0.0604
1,0.6,0.0622
1,0.566666666666667,0.0424
1,0.516666666666667,0.4204
1,0.5,2.0242
1,0.483333333333333,0.0028
1,0.5,0.046
1,0.483333333333333,0.0406
1,0.5,0.2404
1,0.516666666666667,0.2242
1,0.55,0.0802
1,0.5,0.2602
1,0.5,0.4402
1,0.466666666666667,0.0424
1,0.483333333333333,0.0208
1,0.516666666666667,0.0244
1,0.416666666666667,0.6004
1,0.516666666666667,0.622
1,0.533333333333333,0.2026
1,0.6,2.0422
1,0.416666666666667,0.2242
1,0.466666666666667,0.2224
1,0.466666666666667,0.2422
1,0.483333333333333,0.2242
1,0.5,0.2422
1,0.6,0.2008
1,0.516666666666667,0.0028
1,0.566666666666667,0.0442
1,0.5,0.2008
1,0.383333333333333,0.4222
1,0.483333333333333,0.0244
1,0.45,0.2422
1,0.483333333333333,0.244
1,0.516666666666667,0.001
1,0.483333333333333,0.2206
1,0.533333333333333,0.226
1,0.5,0.6004
1,0.516666666666667,0.2422
1,0.516666666666667,0.244
1,0.5,0.0226
1,0.483333333333333,0.4042
1,0.566666666666667,0.2242
1,0.533333333333333,0.0208
1,0.5,0.0064
1,0.433333333333333,2.0026
1,0.516666666666667,0.064
1,0.55,0.0208
1,0.533333333333333,0.0424
1,0.566666666666667,0.2242
1,0.533333333333333,0.4024
1,0.416666666666667,2.0224
1,0.516666666666667,0.0226
1,0.416666666666667,0.2044
1,0.516666666666667,0.0028
1,0.5,0.0028
1,0.516666666666667,0.4024
1,0.516666666666667,0.0226
