sessID,Role(A=1),Leader(L=1),R_IN_OUT,R_diff_IN,R_diff_OUT,VIF_diff,VIF_IN,VIF_OUT
2,1,1,-0.097858359,0.366205541,-0.271683765,1.234977057,1.154880279,1.079698076
2,1,0,-0.097858359,-0.086765724,0.031470005,1.227295181,1.10793505,1.118927942
2,2,1,-0.097858359,0.469249823,-0.01148272,1.284344645,1.296591799,1.011221586
2,2,0,-0.097858359,-0.332165228,-0.025986538,1.175464842,1.145231484,1.052749367
5,1,1,0.293158479,-0.528992134,-0.699083739,2.522701014,1.411082539,1.987583527
5,1,0,0.293158479,0.194218784,0.197717939,1.864781334,1.255149469,1.95994256
5,2,1,0.293158479,-0.837624942,-0.077465655,3.738691821,4.065667354,1.220455809
5,2,0,0.293158479,0.345279724,0.074823739,1.70951196,1.851056761,1.197369454
8,1,1,0.421550908,-0.05661075,0.071205661,1.014400771,1.227366962,1.229668245
8,1,0,0.421550908,0.001287287,-0.022040981,1.496355197,1.807552512,1.394056874
8,2,1,0.421550908,-0.780784661,-0.378821174,2.581486231,2.688851639,1.225531839
8,2,0,0.421550908,0.178018643,0.080404961,1.433163033,1.594128043,1.224721187
12,1,1,0.088651802,0.315759688,-0.119947168,1.138645772,1.131153604,1.033238396
12,1,0,0.088651802,-0.148759775,0.052328839,1.158540235,1.083183345,1.105046127
12,2,1,0.088651802,0.564754648,0.138542281,1.485526034,1.46855448,1.019734997
12,2,0,0.088651802,-0.321770136,-0.081002718,1.243663289,1.24050816,1.012981467
15,1,1,0.409896655,0.043791486,-0.187519212,1.05558825,1.224145205,1.266326068
15,1,0,0.409896655,-0.004123002,0.061206663,1.05225823,1.248011584,1.242808377
15,2,1,0.409896655,-0.185919404,-0.394682975,1.185501434,1.202943183,1.375654285
15,2,0,0.409896655,0.074754627,0.198838273,1.344087866,1.268875078,1.400069958
16,1,1,-0.085381781,0.027956882,-0.245137066,1.063990424,1.007396891,1.070966219
16,1,0,-0.085381781,-0.005681449,0.120865128,1.107461675,1.021336806,1.095504995
16,2,1,-0.085381781,-0.182457459,-0.246517461,1.114193096,1.054167557,1.08501058
16,2,0,-0.085381781,0.073024227,0.122462275,1.113426046,1.099147765,1.035978475
19,1,1,0.256564693,0.872128914,0.32253382,4.367825109,4.189204984,1.119296924
19,1,0,0.256564693,-0.651597833,-0.237293713,1.971150114,1.993830659,1.081762775
19,2,1,0.256564693,-0.201370052,-0.59193969,1.545631889,1.07480332,1.58745136
19,2,0,0.256564693,0.002351112,0.084442948,2.374648771,1.148919391,2.217009642
20,1,1,-0.042002321,-0.211768032,-0.031338574,1.04873171,1.049553361,1.003470922
20,1,0,-0.042002321,0.147223596,0.016221212,1.182227723,1.181981901,1.003165576
20,2,1,-0.042002321,-0.033851147,0.133723747,1.019036242,1.002582546,1.01966742
20,2,0,-0.042002321,-0.042632822,-0.050010239,1.144093989,1.136796695,1.009066915
23,1,1,0.062006801,-0.691515291,-0.322553331,2.255875986,2.028974268,1.181674336
23,1,0,0.062006801,0.401777361,0.158690742,1.345916907,1.267318017,1.071283091
23,2,1,0.062006801,0.470806189,0.227628869,1.353522785,1.288343614,1.057569187
23,2,0,0.062006801,-0.293640673,-0.142692204,1.775784111,1.66239519,1.091458261
24,1,1,-0.118200909,0.202503015,-0.095408734,1.048424856,1.053601574,1.019677989
24,1,0,-0.118200909,-0.145047609,0.044244114,7.253945846,7.227147726,1.019652168
24,2,1,-0.118200909,0.802352398,-0.245398186,3.000828516,2.860077253,1.084133961
24,2,0,-0.118200909,-0.538196687,0.160305984,3.24561783,3.052343561,1.114911401
27,1,1,0.205213347,0.237015823,0.099732869,1.062588453,1.098270185,1.04698722
27,1,0,0.205213347,-0.173459614,-0.072771942,1.105042075,1.146473911,1.046142876
27,2,1,0.205213347,0.294557465,0.083727622,1.095686174,1.13583807,1.044611155
27,2,0,0.205213347,-0.15052425,-0.046880158,1.140108348,1.187309459,1.047078987
28,1,1,0.017030426,0.537234768,-0.125621158,1.44256337,1.420210658,1.026506728
28,1,0,0.017030426,-0.135572807,0.03512439,1.049382765,1.047891698,1.002397794
28,2,1,0.017030426,-0.39459135,0.225764622,1.265449782,1.201298651,1.068726267
28,2,0,0.017030426,0.183892393,-0.116865658,1.062897778,1.037202882,1.027133609
32,1,1,0.084232762,0.642810643,-0.056026607,1.740432578,1.747367241,1.028574122
32,1,0,0.084232762,-0.334842071,0.046696728,7.779022371,7.788525508,1.019104809
